INTRA-SUJETO (k-fold) — Métricas por sujeto (incluye GLOBAL)
Generado: 2025-10-07 02:14:34
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | n_csp | fb_bands
------------------------------------------------------------------------------------------
S001 | 0.6111 | 0.5762 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S002 | 0.7618 | 0.7518 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S003 | 0.5000 | 0.4784 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S004 | 0.6331 | 0.6260 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S005 | 0.3588 | 0.3406 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S006 | 0.3463 | 0.3337 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S007 | 0.8667 | 0.8623 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S008 | 0.5221 | 0.5186 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S009 | 0.4287 | 0.4130 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S010 | 0.5838 | 0.5783 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S011 | 0.5125 | 0.5041 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S012 | 0.5118 | 0.5094 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S013 | 0.5838 | 0.5706 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S014 | 0.4059 | 0.3871 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S015 | 0.7132 | 0.7066 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S016 | 0.3074 | 0.2936 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S017 | 0.3816 | 0.3601 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S018 | 0.4743 | 0.4654 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S019 | 0.4184 | 0.4160 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S020 | 0.3331 | 0.3086 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S021 | 0.4667 | 0.4633 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S022 | 0.4000 | 0.3727 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S023 | 0.4757 | 0.4658 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S024 | 0.5250 | 0.5132 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S025 | 0.7169 | 0.7061 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S026 | 0.5103 | 0.5033 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S027 | 0.2537 | 0.2455 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S028 | 0.4875 | 0.4650 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S029 | 0.9444 | 0.9445 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S030 | 0.5556 | 0.5419 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S031 | 0.6801 | 0.6786 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S032 | 0.7333 | 0.7253 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S033 | 0.4640 | 0.4386 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S034 | 0.7647 | 0.7583 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
