INTRA-SUJETO (k-fold) — Métricas por sujeto (incluye GLOBAL)
Generado: 2025-10-07 21:17:11
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | n_csp | fb_bands
------------------------------------------------------------------------------------------
S001 | 0.6333 | 0.6196 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S002 | 0.6434 | 0.6275 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S003 | 0.5444 | 0.5362 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S004 | 0.7140 | 0.7180 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S005 | 0.3926 | 0.3773 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S006 | 0.3574 | 0.3297 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S007 | 0.8667 | 0.8610 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S008 | 0.6537 | 0.6365 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S009 | 0.3096 | 0.2941 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S010 | 0.6206 | 0.6171 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S011 | 0.4044 | 0.3853 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S012 | 0.6419 | 0.6426 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S013 | 0.5603 | 0.5372 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S014 | 0.3581 | 0.3400 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S015 | 0.6169 | 0.6020 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S016 | 0.3235 | 0.3149 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S017 | 0.5015 | 0.4868 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S018 | 0.4037 | 0.3897 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S019 | 0.5596 | 0.5651 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S020 | 0.4640 | 0.4557 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S021 | 0.4333 | 0.4139 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S022 | 0.5222 | 0.4941 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S023 | 0.4059 | 0.3840 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S024 | 0.6143 | 0.6092 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S025 | 0.8096 | 0.8054 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S026 | 0.6191 | 0.6007 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S027 | 0.3816 | 0.3739 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S028 | 0.3713 | 0.3562 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S029 | 0.9444 | 0.9443 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S030 | 0.5778 | 0.5645 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S031 | 0.7993 | 0.8000 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S032 | 0.7556 | 0.7478 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S033 | 0.5721 | 0.5661 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S034 | 0.8588 | 0.8539 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
S035 | 0.7111 | 0.6978 | 5 | 4 | (1.0, 4.5) | False | False | 4 | 11
