INTRA-SUJETO (k-fold) — Métricas por sujeto (incluye GLOBAL)
Generado: 2025-10-07 03:12:32
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | n_csp | fb_bands
------------------------------------------------------------------------------------------
S001 | 0.6333 | 0.6192 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S002 | 0.6860 | 0.6694 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S003 | 0.5333 | 0.5247 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S004 | 0.6787 | 0.6791 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S005 | 0.3500 | 0.3265 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S006 | 0.3831 | 0.3551 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S007 | 0.9222 | 0.9200 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S008 | 0.6772 | 0.6726 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S009 | 0.3867 | 0.3820 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S010 | 0.6309 | 0.6252 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S011 | 0.4294 | 0.4264 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S012 | 0.6787 | 0.6764 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S013 | 0.6091 | 0.5791 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S014 | 0.5140 | 0.4989 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S015 | 0.6654 | 0.6450 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S016 | 0.3809 | 0.3628 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S017 | 0.4300 | 0.4192 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S018 | 0.3934 | 0.3843 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S019 | 0.5478 | 0.5425 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S020 | 0.3676 | 0.3556 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S021 | 0.4444 | 0.4274 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S022 | 0.5667 | 0.5303 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S023 | 0.3757 | 0.3583 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S024 | 0.1167 | 0.0694 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S025 | 0.8706 | 0.8666 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S026 | 0.6301 | 0.6121 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S027 | 0.3765 | 0.3549 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S028 | 0.5662 | 0.5560 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S029 | 0.9556 | 0.9544 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S030 | 0.6333 | 0.6314 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
