INTRA-SUJETO (k-fold) — Métricas por sujeto (incluye GLOBAL)
Generado: 2025-10-07 00:18:50
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | n_csp | fb_bands
------------------------------------------------------------------------------------------
S001 | 0.6222 | 0.5927 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S002 | 0.6559 | 0.6321 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S003 | 0.5000 | 0.4763 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S004 | 0.6426 | 0.6449 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S005 | 0.3088 | 0.3036 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S006 | 0.3206 | 0.3141 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S007 | 0.8889 | 0.8796 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S008 | 0.4765 | 0.4737 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S009 | 0.3581 | 0.3316 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S010 | 0.5007 | 0.4631 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S011 | 0.3809 | 0.3672 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S012 | 0.5360 | 0.5293 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S013 | 0.4647 | 0.4654 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S014 | 0.3816 | 0.3729 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S015 | 0.6074 | 0.5746 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S016 | 0.2625 | 0.2597 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S017 | 0.4912 | 0.4803 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S018 | 0.3919 | 0.3906 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S019 | 0.4279 | 0.4243 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S020 | 0.3456 | 0.3222 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S021 | 0.4778 | 0.4603 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S022 | 0.4444 | 0.4334 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S023 | 0.4537 | 0.4383 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S024 | 0.5250 | 0.5057 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S025 | 0.5831 | 0.5806 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S026 | 0.6426 | 0.6351 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S027 | 0.3213 | 0.3078 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S028 | 0.3699 | 0.3511 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S029 | 0.9667 | 0.9672 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S030 | 0.3111 | 0.3015 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S031 | 0.6684 | 0.6615 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S032 | 0.7000 | 0.6957 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S033 | 0.4059 | 0.3820 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S034 | 0.6353 | 0.6264 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S035 | 0.6667 | 0.6579 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S036 | 0.3118 | 0.2963 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S037 | 0.3529 | 0.3471 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S039 | 0.2846 | 0.2797 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S040 | 0.3449 | 0.3276 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S041 | 0.5444 | 0.5270 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S042 | 0.8566 | 0.8522 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S043 | 0.5588 | 0.5443 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S044 | 0.4301 | 0.4210 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S045 | 0.6074 | 0.6150 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S046 | 0.5333 | 0.5297 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S047 | 0.2971 | 0.2941 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S048 | 0.5360 | 0.5179 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S049 | 0.6544 | 0.6478 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S050 | 0.4757 | 0.4337 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S051 | 0.3778 | 0.3734 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S052 | 0.3809 | 0.3729 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S053 | 0.4404 | 0.4288 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S054 | 0.6676 | 0.6656 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S055 | 0.4632 | 0.4550 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S056 | 0.7265 | 0.7262 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S057 | 0.5222 | 0.5072 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S058 | 0.5360 | 0.5103 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S059 | 0.3816 | 0.3734 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S060 | 0.5949 | 0.5751 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S061 | 0.5556 | 0.5487 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S062 | 0.7713 | 0.7745 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
S063 | 0.4397 | 0.4226 | 5 | 4 | (0.5, 4.5) | True | False | 4 | 11
