INTRA-SUJETO (k-fold) — Métricas por sujeto (incluye GLOBAL)
Generado: 2025-10-07 21:57:14
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | n_csp | fb_bands
------------------------------------------------------------------------------------------
S001 | 0.6667 | 0.6546 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S002 | 0.6441 | 0.6328 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S003 | 0.4222 | 0.4001 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S004 | 0.7493 | 0.7504 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S005 | 0.4074 | 0.3891 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S006 | 0.3831 | 0.3600 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S007 | 0.8778 | 0.8780 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S008 | 0.6551 | 0.6456 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S009 | 0.3691 | 0.3662 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S010 | 0.5831 | 0.5814 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S011 | 0.4632 | 0.4427 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S012 | 0.6537 | 0.6506 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S013 | 0.5728 | 0.5361 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S014 | 0.4199 | 0.4072 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S015 | 0.6897 | 0.6637 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S016 | 0.3816 | 0.3736 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S017 | 0.3809 | 0.3592 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S018 | 0.3574 | 0.3543 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S019 | 0.5118 | 0.5126 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S020 | 0.4382 | 0.4116 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S021 | 0.4778 | 0.4632 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S022 | 0.5444 | 0.5198 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S023 | 0.4779 | 0.4728 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S024 | 0.4714 | 0.4503 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S025 | 0.8706 | 0.8683 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S026 | 0.7132 | 0.7000 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S027 | 0.3713 | 0.3715 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S028 | 0.4066 | 0.3693 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S029 | 0.9444 | 0.9443 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S030 | 0.5444 | 0.5294 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S031 | 0.8103 | 0.8089 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S032 | 0.7556 | 0.7504 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S033 | 0.5956 | 0.5842 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S034 | 0.7765 | 0.7753 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S035 | 0.7889 | 0.7859 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S036 | 0.3574 | 0.3435 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S037 | 0.3059 | 0.2859 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S039 | 0.2860 | 0.2775 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S040 | 0.4044 | 0.4069 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S041 | 0.5922 | 0.5721 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S042 | 0.8684 | 0.8675 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S043 | 0.7265 | 0.7112 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S044 | 0.4949 | 0.4701 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S045 | 0.7015 | 0.6975 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S046 | 0.5000 | 0.4841 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S047 | 0.3919 | 0.3921 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S048 | 0.6324 | 0.6251 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S049 | 0.7971 | 0.7934 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S050 | 0.5588 | 0.5427 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S051 | 0.4333 | 0.4060 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S052 | 0.6206 | 0.6166 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S053 | 0.5235 | 0.4914 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S054 | 0.5824 | 0.5598 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S055 | 0.6412 | 0.6350 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S056 | 0.7860 | 0.7849 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S057 | 0.4000 | 0.4015 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S058 | 0.6081 | 0.5924 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S059 | 0.4765 | 0.4741 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S060 | 0.6184 | 0.5915 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S061 | 0.6000 | 0.5882 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S062 | 0.8787 | 0.8791 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
S063 | 0.4346 | 0.4046 | 5 | 4 | (0.5, 4.5) | False | False | 4 | 11
