INTRA-SUJETO (k-fold) — Métricas por sujeto (incluye GLOBAL)
Generado: 2025-10-07 21:34:12
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | n_csp | fb_bands
------------------------------------------------------------------------------------------
S001 | 0.5333 | 0.4954 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S002 | 0.6441 | 0.6384 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S003 | 0.5556 | 0.5535 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S004 | 0.6051 | 0.5995 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S005 | 0.3794 | 0.3584 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S006 | 0.3809 | 0.3773 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S007 | 0.8222 | 0.8175 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S008 | 0.5132 | 0.5052 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S009 | 0.3338 | 0.2960 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S010 | 0.6441 | 0.6297 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S011 | 0.4279 | 0.4265 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S012 | 0.5949 | 0.5846 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S013 | 0.4757 | 0.4552 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S014 | 0.3588 | 0.3573 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S015 | 0.5110 | 0.5040 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S016 | 0.3456 | 0.3274 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S017 | 0.4529 | 0.4280 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S018 | 0.3574 | 0.3469 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S019 | 0.6081 | 0.6208 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S020 | 0.4279 | 0.4250 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S021 | 0.4333 | 0.4192 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S022 | 0.5333 | 0.5173 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S023 | 0.4662 | 0.4553 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S024 | 0.5857 | 0.5548 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S025 | 0.7971 | 0.7954 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S026 | 0.6176 | 0.6191 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S027 | 0.4044 | 0.3733 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S028 | 0.3118 | 0.2966 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S029 | 0.9333 | 0.9326 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S030 | 0.5444 | 0.5066 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S031 | 0.7853 | 0.7775 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S032 | 0.7333 | 0.7173 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S033 | 0.4765 | 0.4699 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S034 | 0.7647 | 0.7655 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S035 | 0.7556 | 0.7542 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S036 | 0.2978 | 0.2944 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S037 | 0.3647 | 0.3525 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S039 | 0.1919 | 0.1768 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S040 | 0.4397 | 0.4315 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S041 | 0.5020 | 0.4875 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S042 | 0.8684 | 0.8664 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S043 | 0.6926 | 0.6918 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S044 | 0.5066 | 0.4861 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S045 | 0.6787 | 0.6669 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S046 | 0.5111 | 0.4804 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S047 | 0.3684 | 0.3593 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S048 | 0.5603 | 0.5340 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S049 | 0.7397 | 0.7389 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S050 | 0.4890 | 0.4518 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S051 | 0.3889 | 0.3666 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S052 | 0.5713 | 0.5733 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S053 | 0.4640 | 0.4405 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S054 | 0.6441 | 0.6394 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S055 | 0.6044 | 0.5719 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S056 | 0.6772 | 0.6806 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S057 | 0.4556 | 0.4248 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S058 | 0.5493 | 0.5379 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S059 | 0.3809 | 0.3601 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S060 | 0.5000 | 0.4837 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S061 | 0.4889 | 0.4809 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S062 | 0.7971 | 0.7911 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S063 | 0.4956 | 0.4793 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S064 | 0.3693 | 0.3332 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S065 | 0.5778 | 0.5645 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S066 | 0.4889 | 0.4758 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S067 | 0.3235 | 0.3183 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S068 | 0.6088 | 0.5918 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S069 | 0.5588 | 0.5529 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S070 | 0.6794 | 0.6667 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S071 | 0.6333 | 0.6272 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S072 | 0.7529 | 0.7548 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S073 | 0.6566 | 0.6513 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S074 | 0.4118 | 0.4078 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S075 | 0.5338 | 0.5262 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S076 | 0.4287 | 0.4093 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S077 | 0.3346 | 0.3040 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S078 | 0.3816 | 0.3626 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S079 | 0.5000 | 0.4888 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S080 | 0.4051 | 0.4129 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S081 | 0.5721 | 0.5661 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S082 | 0.5118 | 0.5049 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S083 | 0.4889 | 0.4605 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S084 | 0.5772 | 0.5742 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S085 | 0.7735 | 0.7549 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S086 | 0.7778 | 0.7673 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S087 | 0.4860 | 0.4843 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S090 | 0.5118 | 0.4946 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S091 | 0.4529 | 0.4369 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S093 | 0.6912 | 0.6832 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S094 | 0.7375 | 0.7357 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S095 | 0.4889 | 0.4760 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S096 | 0.3510 | 0.3278 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S097 | 0.2978 | 0.2721 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S098 | 0.5956 | 0.5818 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S099 | 0.4154 | 0.4065 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S101 | 0.4111 | 0.4017 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S102 | 0.6588 | 0.6530 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S103 | 0.4889 | 0.4538 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S105 | 0.3794 | 0.3691 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S106 | 0.4444 | 0.4268 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S107 | 0.3444 | 0.3202 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S108 | 0.5228 | 0.5179 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
S109 | 0.5028 | 0.4256 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
GLOBAL | 0.5288 | 0.5155 | 5 | 4 | (1.0, 3.5) | False | False | 4 | 11
