phase,time_mean_s,time_std_s,mem_mean_mb,mem_std_mb,flops_g,params_m
model_specs,,,,,0.024289056,0.23229
train,18.016399240493776,6.032183474706505,3288.63671875,1.406542938238778,,
test,8.464380979537964,,168.27587890625,,,
model_specs,,,,,0.024289056,0.23229
train,19.51186246871948,7.637981809293886,3233.8822265625,1.3073117991970487,,
test,8.750674962997437,,112.5908203125,,,
