tag,fold,acc,f1_macro,ft_acc,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers
nb2_h6,1,0.8106575963718821,0.8106573529770942,0.8526077097505669,232290,232290,24289056,0.0011120223999023437,121,144,4,1
nb2_h6,2,0.8356009070294784,0.835278843590249,0.8877551020408163,232290,232290,24289056,0.0011180019378662109,121,144,4,1
nb2_h6,3,0.808390022675737,0.8083779527559055,0.8469387755102041,232290,232290,24289056,0.0011379814147949219,121,144,4,1
nb2_h6,4,0.8119047619047619,0.8098174981658107,0.8738095238095238,232290,232290,24289056,0.001128687858581543,121,144,4,1
nb2_h6,5,0.8464285714285714,0.8464109400313812,0.8785714285714286,232290,232290,24289056,0.0011151742935180664,121,144,4,1
nb2_h6,1,0.8106575963718821,0.8106573529770942,0.8526077097505669,232290,232290,24289056,0.0011210680007934571,121,144,4,1
nb2_h6,2,0.8356009070294784,0.835278843590249,0.8877551020408163,232290,232290,24289056,0.0011192131042480468,121,144,4,1
nb2_h6,3,0.808390022675737,0.8083779527559055,0.8469387755102041,232290,232290,24289056,0.001132040023803711,121,144,4,1
nb2_h6,4,0.8119047619047619,0.8098174981658107,0.8738095238095238,232290,232290,24289056,0.0011221647262573242,121,144,4,1
nb2_h6,5,0.8464285714285714,0.8464109400313812,0.8785714285714286,232290,232290,24289056,0.0011207342147827148,121,144,4,1
