subject,acc_mean,f1_macro_mean,k
S001,0.6,0.5787229437229438,5
S002,0.5666666666666667,0.5281349206349206,5
S003,0.5444444444444444,0.5173248973248974,5
S004,0.6777777777777778,0.6686346986346987,5
S005,0.4333333333333334,0.42176767676767674,5
S006,0.6111111111111112,0.5677677877677877,5
S007,0.8333333333333334,0.8300108225108225,5
S008,0.5111111111111111,0.4948484848484848,5
S009,0.5333333333333333,0.5176795426795426,5
S010,0.5111111111111112,0.4945454545454545,5
S011,0.45555555555555555,0.43525557775557766,5
S012,0.5666666666666667,0.5401290376290376,5
S013,0.3555555555555555,0.3222796647796648,5
S014,0.34444444444444444,0.322950937950938,5
S015,0.7444444444444445,0.7266991341991342,5
S016,0.45555555555555555,0.42114801864801865,5
S017,0.48888888888888893,0.46312493062493065,5
S018,0.7333333333333333,0.7173701298701298,5
S019,0.5333333333333334,0.5250874125874125,5
S020,0.6333333333333333,0.6261560661560661,5
S021,0.5111111111111111,0.4841123419064595,5
S022,0.7777777777777778,0.7669644244644245,5
S023,0.4444444444444445,0.4154398379398379,5
S024,0.48888888888888893,0.4748229548229547,5
S025,0.37777777777777777,0.35664113664113667,5
S026,0.42222222222222217,0.39713286713286716,5
S027,0.45555555555555555,0.42365800865800873,5
S028,0.4888888888888888,0.4616666666666667,5
S029,0.5666666666666667,0.5546495171495172,5
S030,0.5666666666666667,0.5469355644355645,5
S031,0.4666666666666667,0.45003330003330005,5
S032,0.6888888888888889,0.6666630591630591,5
S033,0.6555555555555557,0.6388618326118326,5
S034,0.5555555555555556,0.519939504939505,5
S035,0.7666666666666666,0.7387573537573537,5
S036,0.611111111111111,0.5882828282828283,5
S037,0.4333333333333334,0.4264935064935065,5
S039,0.35555555555555557,0.33846320346320347,5
S040,0.5222222222222221,0.4850956207535154,5
S041,0.45555555555555555,0.4557683982683983,5
S042,0.5222222222222223,0.5212445887445888,5
S043,0.5666666666666667,0.538073593073593,5
S044,0.5666666666666667,0.5312501387501387,5
S045,0.6,0.5993467643467645,5
S046,0.47777777777777775,0.463995448995449,5
S047,0.4333333333333333,0.40210317460317463,5
S048,0.6222222222222221,0.6129040404040403,5
S049,0.34444444444444444,0.3239668664668665,5
S050,0.4222222222222222,0.3854037629037629,5
S051,0.6,0.5861116661116661,5
S052,0.4666666666666666,0.4415728715728716,5
S053,0.5666666666666667,0.535952380952381,5
S054,0.5777777777777777,0.5708459595959596,5
S055,0.6222222222222222,0.592410644910645,5
S056,0.5555555555555556,0.5465548340548341,5
S057,0.7222222222222222,0.6847602397602399,5
S058,0.5222222222222221,0.5204803529803529,5
S059,0.35555555555555557,0.36682900432900434,5
S060,0.5888888888888889,0.5793867243867243,5
S061,0.6333333333333333,0.6188528138528138,5
S062,0.7,0.681488233988234,5
S063,0.48888888888888893,0.43888888888888894,5
S064,0.5222222222222223,0.5040459540459541,5
S065,0.48888888888888893,0.43452464202464214,5
S066,0.5222222222222223,0.5080913530913531,5
S067,0.4,0.3958261183261183,5
S068,0.42222222222222217,0.413520646020646,5
S069,0.45555555555555555,0.44457042957042947,5
S070,0.7000000000000001,0.6710841935841936,5
S071,0.6222222222222222,0.6177958152958153,5
S072,0.7222222222222223,0.7151667776667776,5
S073,0.45555555555555555,0.4373088023088023,5
S074,0.3888888888888889,0.36528832278832274,5
S075,0.4666666666666667,0.45018481518481523,5
S076,0.3666666666666667,0.33441919191919184,5
S077,0.34444444444444444,0.3214055389055389,5
S078,0.3444444444444444,0.33879592629592625,5
S079,0.5111111111111112,0.5166594516594516,5
S080,0.4333333333333334,0.4411793761793762,5
S081,0.5222222222222221,0.5136433011433011,5
S082,0.6000000000000001,0.5991125541125542,5
S083,0.4222222222222222,0.42210650460650456,5
S084,0.39999999999999997,0.3523276723276723,5
S085,0.5555555555555556,0.5137463924963925,5
S086,0.788888888888889,0.7826551226551226,5
S087,0.3555555555555555,0.3362984237984238,5
S090,0.5111111111111111,0.463199716949717,5
S091,0.5555555555555556,0.5282609057609058,5
S093,0.5333333333333333,0.5253857253857254,5
S094,0.5888888888888889,0.567018537018537,5
S095,0.31111111111111106,0.2982611832611833,5
S096,0.5111111111111111,0.4817019092019092,5
S097,0.4444444444444445,0.4234423909423909,5
S098,0.45555555555555555,0.4348773448773448,5
S099,0.37777777777777777,0.3543975468975469,5
S101,0.5444444444444445,0.5116666666666667,5
S102,0.5555555555555556,0.5459143634143635,5
S103,0.5666666666666667,0.5511083361083361,5
S105,0.6555555555555557,0.6228174603174603,5
S106,0.42222222222222217,0.4043378843378843,5
S107,0.32222222222222224,0.31737734487734487,5
S108,0.6,0.5963200688200688,5
S109,0.38888888888888884,0.35408369408369406,5
GLOBAL,0.5228694714131609,0.5035181695711017,5
