fold,accuracy,f1_macro,n_params,best_epoch,train_time_s,train_mem_mb,test_time_s,test_mem_mb,flops_est,latency_s
1,0.7993197278911565,0.7993070866141732,232290,35,17.9345223903656,1506.548828125,0.010080575942993164,1203.73876953125,24289056,0.001126418113708496
2,0.828798185941043,0.828129859504271,232290,28,14.232007265090942,1533.04150390625,0.010176658630371094,1204.10009765625,0,0.0
3,0.8117913832199547,0.8117758979764996,232290,39,19.997127294540405,1533.04150390625,0.010109901428222656,1204.10009765625,0,0.0
4,0.8333333333333334,0.8331735052289324,232290,16,8.166009187698364,408.13037109375,0.00969552993774414,1132.6962890625,0,0.0
5,0.8321428571428572,0.8314719454290109,232290,20,10.22164797782898,391.328125,0.009622335433959961,1132.16259765625,0,0.0
