tag,fold,acc_global,f1_macro_global,acc_ft,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers
nb2_h4_optimized_ligero,1,0.8163265306122449,0.8163029168552269,0.8616780045351474,195170,195170,19607808,0.0013137340545654296,121,128,4,1
nb2_h4_optimized_ligero,2,0.8242630385487528,0.8241217343647682,0.8888888888888888,195170,195170,19607808,0.0013323688507080077,121,128,4,1
nb2_h4_optimized_ligero,3,0.7913832199546486,0.7912962962962964,0.854875283446712,195170,195170,19607808,0.0013313579559326172,121,128,4,1
nb2_h4_optimized_ligero,4,0.8369047619047619,0.836736083623812,0.8821428571428571,195170,195170,19607808,0.001302499771118164,121,128,4,1
nb2_h4_optimized_ligero,5,0.8369047619047619,0.8368860370875908,0.8797619047619047,195170,195170,19607808,0.0012834835052490234,121,128,4,1
