variant,name,description,mean_accuracy,std_accuracy,mean_f1,std_f1,n_params,folds,fold_accs,fold_f1s
baseline,Baseline (Completo),Modelo completo con todos los componentes,0.8321201814058957,0.023821603673547867,0.831931879472007,0.0238609050459401,232290,"[1, 2, 3, 4, 5]","[0.7970521541950113, 0.8469387755102041, 0.8106575963718821, 0.8476190476190476, 0.8583333333333333]","[0.7966545724321004, 0.8466389233426455, 0.8106378793664017, 0.8475637419471918, 0.8581642802716958]"
no_depthwise,Sin Depthwise Blocks,"Solo stem convolucional, sin bloques depthwise",0.0,0.0,0.0,0.0,205890,"[1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
no_posenc,Sin Codificación Posicional,Sin positional encoding en Transformer,0.7618367346938776,0.024164676540132303,0.7611888518713021,0.024025129331475586,232290,"[1, 2, 3, 4, 5]","[0.717687074829932, 0.764172335600907, 0.7630385487528345, 0.7904761904761904, 0.7738095238095238]","[0.7176431564290701, 0.7618011373964528, 0.7629285344081445, 0.7900906426770258, 0.773480788445817]"
no_cls,Sin Token CLS,Usa average pooling en vez de token CLS,0.8258163265306122,0.019375073759034328,0.8256874338499381,0.019419697023799268,232146,"[1, 2, 3, 4, 5]","[0.8015873015873016, 0.8310657596371882, 0.8095238095238095, 0.8297619047619048, 0.8571428571428571]","[0.80134189144142, 0.8309073012564414, 0.8094993211831982, 0.829558756965147, 0.8571298984034833]"
batchnorm,Con BatchNorm,BatchNorm en vez de GroupNorm,0.8220408163265306,0.025634301332102715,0.8219629685770814,0.02561935031030029,232290,"[1, 2, 3, 4, 5]","[0.7857142857142857, 0.8537414965986394, 0.7993197278911565, 0.8297619047619048, 0.8416666666666667]","[0.7856522896390505, 0.8537187436921688, 0.7993174061433448, 0.829558756965147, 0.8415676464456953]"
relu,Con ReLU,ReLU en vez de ELU/GELU,0.8250680272108843,0.018253207685455096,0.8249564782555356,0.01818579838419266,232290,"[1, 2, 3, 4, 5]","[0.8095238095238095, 0.8390022675736961, 0.7970521541950113, 0.8416666666666667, 0.8380952380952381]","[0.8095228301110654, 0.8388829713333025, 0.7970205823325444, 0.8416287347734931, 0.8377272727272727]"
