subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,n_csp,fb_bands
S001,0.6666666666666667,0.6546176046176047,5,4,"(0.5, 4.5)",False,False,4,11
S002,0.6441176470588236,0.6327813852813853,5,4,"(0.5, 4.5)",False,False,4,11
S003,0.42222222222222217,0.40007575757575753,5,4,"(0.5, 4.5)",False,False,4,11
S004,0.7492647058823529,0.7504473304473305,5,4,"(0.5, 4.5)",False,False,4,11
S005,0.40735294117647064,0.3891125541125541,5,4,"(0.5, 4.5)",False,False,4,11
S006,0.3830882352941177,0.3600274725274725,5,4,"(0.5, 4.5)",False,False,4,11
S007,0.8777777777777777,0.877987012987013,5,4,"(0.5, 4.5)",False,False,4,11
S008,0.6551470588235294,0.6455663780663781,5,4,"(0.5, 4.5)",False,False,4,11
S009,0.36911764705882355,0.3661721611721612,5,4,"(0.5, 4.5)",False,False,4,11
S010,0.5830882352941177,0.5813888888888888,5,4,"(0.5, 4.5)",False,False,4,11
S011,0.4632352941176471,0.44273088023088025,5,4,"(0.5, 4.5)",False,False,4,11
S012,0.6536764705882353,0.6505699855699856,5,4,"(0.5, 4.5)",False,False,4,11
S013,0.5727941176470589,0.5361219336219336,5,4,"(0.5, 4.5)",False,False,4,11
S014,0.41985294117647054,0.4072438672438672,5,4,"(0.5, 4.5)",False,False,4,11
S015,0.6897058823529412,0.6636507936507936,5,4,"(0.5, 4.5)",False,False,4,11
S016,0.38161764705882356,0.37359668109668104,5,4,"(0.5, 4.5)",False,False,4,11
S017,0.3808823529411765,0.3592063492063492,5,4,"(0.5, 4.5)",False,False,4,11
S018,0.35735294117647054,0.35428571428571426,5,4,"(0.5, 4.5)",False,False,4,11
S019,0.5117647058823529,0.5125865800865801,5,4,"(0.5, 4.5)",False,False,4,11
S020,0.438235294117647,0.41158896658896654,5,4,"(0.5, 4.5)",False,False,4,11
S021,0.47777777777777775,0.4632042957042957,5,4,"(0.5, 4.5)",False,False,4,11
S022,0.5444444444444445,0.5197915972915974,5,4,"(0.5, 4.5)",False,False,4,11
S023,0.4779411764705882,0.4728305028305028,5,4,"(0.5, 4.5)",False,False,4,11
S024,0.4714285714285714,0.4502777777777777,5,4,"(0.5, 4.5)",False,False,4,11
S025,0.8705882352941176,0.8682936507936507,5,4,"(0.5, 4.5)",False,False,4,11
S026,0.713235294117647,0.7000180375180375,5,4,"(0.5, 4.5)",False,False,4,11
S027,0.37132352941176466,0.37150793650793645,5,4,"(0.5, 4.5)",False,False,4,11
S028,0.40661764705882353,0.36930819180819185,5,4,"(0.5, 4.5)",False,False,4,11
S029,0.9444444444444443,0.9443001443001442,5,4,"(0.5, 4.5)",False,False,4,11
S030,0.5444444444444445,0.5293614718614719,5,4,"(0.5, 4.5)",False,False,4,11
S031,0.8102941176470588,0.8089033189033188,5,4,"(0.5, 4.5)",False,False,4,11
S032,0.7555555555555555,0.7504256854256853,5,4,"(0.5, 4.5)",False,False,4,11
S033,0.5955882352941176,0.584196359196359,5,4,"(0.5, 4.5)",False,False,4,11
S034,0.7764705882352942,0.7753174603174603,5,4,"(0.5, 4.5)",False,False,4,11
S035,0.7888888888888889,0.7859110334110333,5,4,"(0.5, 4.5)",False,False,4,11
S036,0.35735294117647054,0.343531746031746,5,4,"(0.5, 4.5)",False,False,4,11
S037,0.30588235294117644,0.2859199134199134,5,4,"(0.5, 4.5)",False,False,4,11
S039,0.28602941176470587,0.27746031746031746,5,4,"(0.5, 4.5)",False,False,4,11
S040,0.40441176470588236,0.4069272394272394,5,4,"(0.5, 4.5)",False,False,4,11
S041,0.592156862745098,0.5720887445887446,5,4,"(0.5, 4.5)",False,False,4,11
S042,0.8683823529411765,0.8674603174603174,5,4,"(0.5, 4.5)",False,False,4,11
S043,0.7264705882352941,0.7112049062049062,5,4,"(0.5, 4.5)",False,False,4,11
S044,0.49485294117647055,0.4700754800754801,5,4,"(0.5, 4.5)",False,False,4,11
S045,0.7014705882352941,0.69751443001443,5,4,"(0.5, 4.5)",False,False,4,11
S046,0.5000000000000001,0.4840989565989566,5,4,"(0.5, 4.5)",False,False,4,11
S047,0.39191176470588235,0.39209207459207457,5,4,"(0.5, 4.5)",False,False,4,11
S048,0.6323529411764706,0.6251443001443002,5,4,"(0.5, 4.5)",False,False,4,11
S049,0.7970588235294117,0.7933510933510933,5,4,"(0.5, 4.5)",False,False,4,11
S050,0.5588235294117647,0.5427380952380952,5,4,"(0.5, 4.5)",False,False,4,11
S051,0.4333333333333333,0.40604256854256854,5,4,"(0.5, 4.5)",False,False,4,11
