subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,n_csp,fb_bands
S001,0.6333333333333333,0.6191955266955267,5,4,"(0.5, 4.5)",False,False,4,11
S002,0.6794117647058824,0.6603066378066377,5,4,"(0.5, 4.5)",False,False,4,11
S003,0.5333333333333334,0.5247077922077923,5,4,"(0.5, 4.5)",False,False,4,11
S004,0.6786764705882353,0.6790945165945166,5,4,"(0.5, 4.5)",False,False,4,11
S005,0.35,0.32645021645021643,5,4,"(0.5, 4.5)",False,False,4,11
S006,0.3830882352941177,0.35514430014430015,5,4,"(0.5, 4.5)",False,False,4,11
S007,0.9222222222222222,0.919978354978355,5,4,"(0.5, 4.5)",False,False,4,11
S008,0.6772058823529412,0.672579365079365,5,4,"(0.5, 4.5)",False,False,4,11
S009,0.31029411764705883,0.30576118326118323,5,4,"(0.5, 4.5)",False,False,4,11
S010,0.6308823529411766,0.6252200577200577,5,4,"(0.5, 4.5)",False,False,4,11
S011,0.42941176470588244,0.4263997113997114,5,4,"(0.5, 4.5)",False,False,4,11
S012,0.6786764705882353,0.6764285714285714,5,4,"(0.5, 4.5)",False,False,4,11
S013,0.5666666666666667,0.5503174603174603,5,4,"(0.5, 4.5)",False,False,4,11
S014,0.5139705882352942,0.49891414141414137,5,4,"(0.5, 4.5)",False,False,4,11
S015,0.6654411764705882,0.6450108225108224,5,4,"(0.5, 4.5)",False,False,4,11
S016,0.38088235294117645,0.36277472527472526,5,4,"(0.5, 4.5)",False,False,4,11
S017,0.5507352941176471,0.5468406593406593,5,4,"(0.5, 4.5)",False,False,4,11
S018,0.39338235294117646,0.3842673992673992,5,4,"(0.5, 4.5)",False,False,4,11
S019,0.5477941176470589,0.5424711399711398,5,4,"(0.5, 4.5)",False,False,4,11
S020,0.36764705882352944,0.3556385281385282,5,4,"(0.5, 4.5)",False,False,4,11
S021,0.4444444444444445,0.42736652236652234,5,4,"(0.5, 4.5)",False,False,4,11
S022,0.5666666666666667,0.5303085803085803,5,4,"(0.5, 4.5)",False,False,4,11
S023,0.37573529411764706,0.3582611832611832,5,4,"(0.5, 4.5)",False,False,4,11
S024,0.6083333333333333,0.565,5,4,"(0.5, 4.5)",False,False,4,11
S025,0.8705882352941178,0.8666017316017317,5,4,"(0.5, 4.5)",False,False,4,11
S026,0.6301470588235294,0.6121356421356421,5,4,"(0.5, 4.5)",False,False,4,11
S027,0.4397058823529412,0.4453174603174602,5,4,"(0.5, 4.5)",False,False,4,11
S028,0.46691176470588236,0.45379148629148636,5,4,"(0.5, 4.5)",False,False,4,11
S029,0.9555555555555555,0.9544011544011545,5,4,"(0.5, 4.5)",False,False,4,11
S030,0.6333333333333333,0.6314213564213564,5,4,"(0.5, 4.5)",False,False,4,11
S031,0.8705882352941178,0.8705555555555555,5,4,"(0.5, 4.5)",False,False,4,11
S032,0.8,0.7944047619047618,5,4,"(0.5, 4.5)",False,False,4,11
S033,0.5735294117647058,0.562005772005772,5,4,"(0.5, 4.5)",False,False,4,11
S034,0.8352941176470589,0.8359920634920636,5,4,"(0.5, 4.5)",False,False,4,11
S035,0.7555555555555555,0.743015873015873,5,4,"(0.5, 4.5)",False,False,4,11
S036,0.4051470588235294,0.412063492063492,5,4,"(0.5, 4.5)",False,False,4,11
S037,0.29411764705882354,0.2911652236652237,5,4,"(0.5, 4.5)",False,False,4,11
S039,0.3213235294117647,0.30968253968253967,5,4,"(0.5, 4.5)",False,False,4,11
S040,0.37941176470588234,0.37002164502164503,5,4,"(0.5, 4.5)",False,False,4,11
S041,0.49869281045751634,0.4821248196248196,5,4,"(0.5, 4.5)",False,False,4,11
S042,0.8683823529411765,0.869105339105339,5,4,"(0.5, 4.5)",False,False,4,11
S043,0.7507352941176471,0.7437806637806638,5,4,"(0.5, 4.5)",False,False,4,11
S044,0.4588235294117647,0.4472294372294372,5,4,"(0.5, 4.5)",False,False,4,11
S045,0.6661764705882353,0.6539285714285714,5,4,"(0.5, 4.5)",False,False,4,11
S046,0.5666666666666667,0.5390953490953492,5,4,"(0.5, 4.5)",False,False,4,11
S047,0.4522058823529411,0.4294810744810745,5,4,"(0.5, 4.5)",False,False,4,11
S048,0.6333333333333333,0.6069011544011544,5,4,"(0.5, 4.5)",False,False,4,11
S049,0.8683823529411765,0.8638275613275613,5,4,"(0.5, 4.5)",False,False,4,11
