subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,n_csp,fb_bands
S001,0.6333333333333333,0.6191955266955267,5,4,"(0.5, 4.5)",False,False,4,11
S002,0.6860294117647059,0.6693650793650793,5,4,"(0.5, 4.5)",False,False,4,11
S003,0.5333333333333334,0.5247077922077923,5,4,"(0.5, 4.5)",False,False,4,11
S004,0.6786764705882353,0.6790945165945166,5,4,"(0.5, 4.5)",False,False,4,11
S005,0.35,0.32645021645021643,5,4,"(0.5, 4.5)",False,False,4,11
S006,0.3830882352941177,0.35514430014430015,5,4,"(0.5, 4.5)",False,False,4,11
S007,0.9222222222222222,0.919978354978355,5,4,"(0.5, 4.5)",False,False,4,11
S008,0.6772058823529412,0.672579365079365,5,4,"(0.5, 4.5)",False,False,4,11
S009,0.3866666666666666,0.38202963702963705,5,4,"(0.5, 4.5)",False,False,4,11
S010,0.6308823529411766,0.6252200577200577,5,4,"(0.5, 4.5)",False,False,4,11
S011,0.42941176470588244,0.4263997113997114,5,4,"(0.5, 4.5)",False,False,4,11
S012,0.6786764705882353,0.6764285714285714,5,4,"(0.5, 4.5)",False,False,4,11
S013,0.6090909090909091,0.5791125541125541,5,4,"(0.5, 4.5)",False,False,4,11
S014,0.5139705882352942,0.49891414141414137,5,4,"(0.5, 4.5)",False,False,4,11
S015,0.6654411764705882,0.6450108225108224,5,4,"(0.5, 4.5)",False,False,4,11
S016,0.38088235294117645,0.36277472527472526,5,4,"(0.5, 4.5)",False,False,4,11
S017,0.43,0.4192460317460317,5,4,"(0.5, 4.5)",False,False,4,11
S018,0.39338235294117646,0.3842673992673992,5,4,"(0.5, 4.5)",False,False,4,11
S019,0.5477941176470589,0.5424711399711398,5,4,"(0.5, 4.5)",False,False,4,11
S020,0.36764705882352944,0.3556385281385282,5,4,"(0.5, 4.5)",False,False,4,11
S021,0.4444444444444445,0.42736652236652234,5,4,"(0.5, 4.5)",False,False,4,11
S022,0.5666666666666667,0.5303085803085803,5,4,"(0.5, 4.5)",False,False,4,11
S023,0.37573529411764706,0.3582611832611832,5,4,"(0.5, 4.5)",False,False,4,11
S024,0.11666666666666665,0.06944444444444445,5,4,"(0.5, 4.5)",False,False,4,11
S025,0.8705882352941178,0.8666017316017317,5,4,"(0.5, 4.5)",False,False,4,11
S026,0.6301470588235294,0.6121356421356421,5,4,"(0.5, 4.5)",False,False,4,11
