subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,n_csp,fb_bands
S001,0.611111111111111,0.5762049062049062,5,4,"(0.5, 4.5)",False,False,4,11
S002,0.7617647058823529,0.7517857142857143,5,4,"(0.5, 4.5)",False,False,4,11
S003,0.5,0.47840548340548344,5,4,"(0.5, 4.5)",False,False,4,11
S004,0.6330882352941176,0.6259668109668108,5,4,"(0.5, 4.5)",False,False,4,11
S005,0.3588235294117647,0.3406132756132756,5,4,"(0.5, 4.5)",False,False,4,11
S006,0.3463235294117647,0.33370129870129867,5,4,"(0.5, 4.5)",False,False,4,11
S007,0.8666666666666666,0.8623304473304474,5,4,"(0.5, 4.5)",False,False,4,11
S008,0.5220588235294118,0.5185930735930736,5,4,"(0.5, 4.5)",False,False,4,11
S009,0.4286764705882352,0.4129545454545454,5,4,"(0.5, 4.5)",False,False,4,11
S010,0.5838235294117646,0.5782936507936507,5,4,"(0.5, 4.5)",False,False,4,11
S011,0.5125,0.5040873015873016,5,4,"(0.5, 4.5)",False,False,4,11
S012,0.511764705882353,0.5093650793650794,5,4,"(0.5, 4.5)",False,False,4,11
S013,0.5838235294117647,0.5706060606060606,5,4,"(0.5, 4.5)",False,False,4,11
S014,0.40588235294117647,0.387063492063492,5,4,"(0.5, 4.5)",False,False,4,11
S015,0.7132352941176471,0.706562049062049,5,4,"(0.5, 4.5)",False,False,4,11
S016,0.30735294117647055,0.29363719613719613,5,4,"(0.5, 4.5)",False,False,4,11
S017,0.38161764705882356,0.36013708513708514,5,4,"(0.5, 4.5)",False,False,4,11
S018,0.474264705882353,0.4654437229437229,5,4,"(0.5, 4.5)",False,False,4,11
S019,0.4183823529411764,0.4159992784992784,5,4,"(0.5, 4.5)",False,False,4,11
S020,0.3330882352941177,0.30858585858585863,5,4,"(0.5, 4.5)",False,False,4,11
S021,0.4666666666666666,0.46334276834276833,5,4,"(0.5, 4.5)",False,False,4,11
S022,0.4,0.37267857142857136,5,4,"(0.5, 4.5)",False,False,4,11
S023,0.4757352941176471,0.4658044733044733,5,4,"(0.5, 4.5)",False,False,4,11
S024,0.525,0.5132128982128982,5,4,"(0.5, 4.5)",False,False,4,11
S025,0.7169117647058825,0.706082251082251,5,4,"(0.5, 4.5)",False,False,4,11
S026,0.5102941176470589,0.5032944832944832,5,4,"(0.5, 4.5)",False,False,4,11
S027,0.25367647058823534,0.24547119547119545,5,4,"(0.5, 4.5)",False,False,4,11
S028,0.4875,0.4650452325452326,5,4,"(0.5, 4.5)",False,False,4,11
S029,0.9444444444444444,0.9445021645021645,5,4,"(0.5, 4.5)",False,False,4,11
S030,0.5555555555555556,0.541948051948052,5,4,"(0.5, 4.5)",False,False,4,11
S031,0.6801470588235294,0.6786363636363635,5,4,"(0.5, 4.5)",False,False,4,11
S032,0.7333333333333333,0.7252525252525254,5,4,"(0.5, 4.5)",False,False,4,11
S033,0.46397058823529413,0.43861471861471857,5,4,"(0.5, 4.5)",False,False,4,11
S034,0.7647058823529411,0.7582864357864358,5,4,"(0.5, 4.5)",False,False,4,11
S035,0.6666666666666667,0.665544733044733,5,4,"(0.5, 4.5)",False,False,4,11
S036,0.38235294117647056,0.3693972693972694,5,4,"(0.5, 4.5)",False,False,4,11
S037,0.2823529411764706,0.27432151182151177,5,4,"(0.5, 4.5)",False,False,4,11
S039,0.29926470588235293,0.2878607503607504,5,4,"(0.5, 4.5)",False,False,4,11
S040,0.35808823529411765,0.3349098124098123,5,4,"(0.5, 4.5)",False,False,4,11
S041,0.4993464052287582,0.4843722943722944,5,4,"(0.5, 4.5)",False,False,4,11
S042,0.8683823529411765,0.8694841269841269,5,4,"(0.5, 4.5)",False,False,4,11
S043,0.6919117647058823,0.6832683982683982,5,4,"(0.5, 4.5)",False,False,4,11
S044,0.5389705882352941,0.5215151515151515,5,4,"(0.5, 4.5)",False,False,4,11
S045,0.7235294117647058,0.7157034632034633,5,4,"(0.5, 4.5)",False,False,4,11
S046,0.5888888888888888,0.5851875901875903,5,4,"(0.5, 4.5)",False,False,4,11
S047,0.27426470588235297,0.2610714285714285,5,4,"(0.5, 4.5)",False,False,4,11
S048,0.5477941176470589,0.5376731601731601,5,4,"(0.5, 4.5)",False,False,4,11
S049,0.7264705882352941,0.7289682539682538,5,4,"(0.5, 4.5)",False,False,4,11
S050,0.5698529411764706,0.5444733044733044,5,4,"(0.5, 4.5)",False,False,4,11
S051,0.33333333333333337,0.3242046842046842,5,4,"(0.5, 4.5)",False,False,4,11
S052,0.5352941176470588,0.5059459984459984,5,4,"(0.5, 4.5)",False,False,4,11
S053,0.38088235294117645,0.36824675324675327,5,4,"(0.5, 4.5)",False,False,4,11
S054,0.6676470588235295,0.6601487401487401,5,4,"(0.5, 4.5)",False,False,4,11
S055,0.5580882352941177,0.5366927516927517,5,4,"(0.5, 4.5)",False,False,4,11
S056,0.75,0.7420490620490622,5,4,"(0.5, 4.5)",False,False,4,11
S057,0.5,0.489054279054279,5,4,"(0.5, 4.5)",False,False,4,11
S058,0.5955882352941176,0.5764935064935066,5,4,"(0.5, 4.5)",False,False,4,11
