subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,n_csp,fb_bands
S001,0.5333333333333333,0.49538572538572545,5,4,"(1.0, 3.5)",False,False,4,11
S002,0.6441176470588236,0.6383882783882784,5,4,"(1.0, 3.5)",False,False,4,11
S003,0.5555555555555556,0.5534668109668109,5,4,"(1.0, 3.5)",False,False,4,11
S004,0.6051470588235295,0.599484126984127,5,4,"(1.0, 3.5)",False,False,4,11
S005,0.37941176470588234,0.3584054834054834,5,4,"(1.0, 3.5)",False,False,4,11
S006,0.38088235294117645,0.3773412698412698,5,4,"(1.0, 3.5)",False,False,4,11
S007,0.8222222222222222,0.8174819624819625,5,4,"(1.0, 3.5)",False,False,4,11
S008,0.5132352941176471,0.5051948051948052,5,4,"(1.0, 3.5)",False,False,4,11
S009,0.33382352941176474,0.2960253635253635,5,4,"(1.0, 3.5)",False,False,4,11
S010,0.6441176470588236,0.6296825396825396,5,4,"(1.0, 3.5)",False,False,4,11
S011,0.4279411764705882,0.42647907647907646,5,4,"(1.0, 3.5)",False,False,4,11
S012,0.5948529411764707,0.5845887445887445,5,4,"(1.0, 3.5)",False,False,4,11
S013,0.4757352941176471,0.45515873015873015,5,4,"(1.0, 3.5)",False,False,4,11
S014,0.3588235294117647,0.3573088023088023,5,4,"(1.0, 3.5)",False,False,4,11
S015,0.5110294117647058,0.5039502164502164,5,4,"(1.0, 3.5)",False,False,4,11
S016,0.34558823529411764,0.3273593073593074,5,4,"(1.0, 3.5)",False,False,4,11
S017,0.45294117647058824,0.4280375180375181,5,4,"(1.0, 3.5)",False,False,4,11
S018,0.3573529411764706,0.34694805194805195,5,4,"(1.0, 3.5)",False,False,4,11
S019,0.6080882352941177,0.6208008658008659,5,4,"(1.0, 3.5)",False,False,4,11
S020,0.4279411764705882,0.424978354978355,5,4,"(1.0, 3.5)",False,False,4,11
S021,0.4333333333333334,0.4191522366522367,5,4,"(1.0, 3.5)",False,False,4,11
S022,0.5333333333333333,0.5173015873015873,5,4,"(1.0, 3.5)",False,False,4,11
S023,0.46617647058823525,0.45527056277056277,5,4,"(1.0, 3.5)",False,False,4,11
S024,0.5857142857142856,0.5548412698412699,5,4,"(1.0, 3.5)",False,False,4,11
S025,0.7970588235294117,0.7954473304473304,5,4,"(1.0, 3.5)",False,False,4,11
S026,0.6176470588235294,0.6190584415584416,5,4,"(1.0, 3.5)",False,False,4,11
S027,0.40441176470588236,0.3733319458319458,5,4,"(1.0, 3.5)",False,False,4,11
S028,0.31176470588235294,0.2966125541125541,5,4,"(1.0, 3.5)",False,False,4,11
S029,0.9333333333333332,0.93255772005772,5,4,"(1.0, 3.5)",False,False,4,11
S030,0.5444444444444445,0.506590909090909,5,4,"(1.0, 3.5)",False,False,4,11
S031,0.7852941176470589,0.7775036075036075,5,4,"(1.0, 3.5)",False,False,4,11
S032,0.7333333333333334,0.7173432123432122,5,4,"(1.0, 3.5)",False,False,4,11
S033,0.4764705882352941,0.46988095238095234,5,4,"(1.0, 3.5)",False,False,4,11
S034,0.7647058823529411,0.7654870129870132,5,4,"(1.0, 3.5)",False,False,4,11
S035,0.7555555555555555,0.7541819291819291,5,4,"(1.0, 3.5)",False,False,4,11
S036,0.2977941176470588,0.2943650793650794,5,4,"(1.0, 3.5)",False,False,4,11
S037,0.3647058823529412,0.35248556998556996,5,4,"(1.0, 3.5)",False,False,4,11
S039,0.19191176470588237,0.17675324675324675,5,4,"(1.0, 3.5)",False,False,4,11
S040,0.4397058823529411,0.4314682539682539,5,4,"(1.0, 3.5)",False,False,4,11
S041,0.5019607843137255,0.48749639249639254,5,4,"(1.0, 3.5)",False,False,4,11
S042,0.8683823529411765,0.8664069264069264,5,4,"(1.0, 3.5)",False,False,4,11
S043,0.6926470588235294,0.6918001443001442,5,4,"(1.0, 3.5)",False,False,4,11
S044,0.5066176470588235,0.4861399711399711,5,4,"(1.0, 3.5)",False,False,4,11
S045,0.6786764705882353,0.6668506493506494,5,4,"(1.0, 3.5)",False,False,4,11
S046,0.5111111111111112,0.48041208791208784,5,4,"(1.0, 3.5)",False,False,4,11
