tag,fold,acc,f1_macro,ft_acc,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers
nb2_h4,1,0.8117913832199547,0.811790415466886,0.8469387755102041,399762,399762,48578112,0.0017473363876342773,121,144,4,2
nb2_h4,2,0.8276643990929705,0.8276564235468344,0.8696145124716553,399762,399762,48578112,0.0017891502380371093,121,144,4,2
nb2_h4,3,0.8038548752834467,0.8038425196850394,0.8401360544217688,399762,399762,48578112,0.001745915412902832,121,144,4,2
nb2_h4,4,0.8333333333333334,0.8331735052289324,0.875,399762,399762,48578112,0.0017381906509399414,121,144,4,2
nb2_h4,5,0.825,0.8249699849322234,0.8642857142857143,399762,399762,48578112,0.0017666101455688476,121,144,4,2
