INTRA Riemann — fgmdm
Generado: 2025-10-06 02:28:19
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | fb_bands | cov_estimator | model
S059 | 0.4287 | 0.4127 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S060 | 0.6419 | 0.6130 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S061 | 0.5778 | 0.5527 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S062 | 0.7015 | 0.6868 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S063 | 0.4934 | 0.4593 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S064 | 0.3562 | 0.3350 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S065 | 0.6111 | 0.6067 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S066 | 0.3889 | 0.3558 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S067 | 0.4522 | 0.4532 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S068 | 0.6206 | 0.6193 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S069 | 0.5713 | 0.5613 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S070 | 0.5338 | 0.5263 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S071 | 0.7111 | 0.6947 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S072 | 0.8000 | 0.7921 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S073 | 0.6559 | 0.6552 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S074 | 0.4353 | 0.4261 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S075 | 0.4978 | 0.4904 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S076 | 0.5721 | 0.5208 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S077 | 0.3816 | 0.3697 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S078 | 0.4184 | 0.3919 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S079 | 0.5176 | 0.4860 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S080 | 0.5426 | 0.5297 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S081 | 0.5125 | 0.5042 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S082 | 0.5368 | 0.5290 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S083 | 0.6288 | 0.6229 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S084 | 0.4919 | 0.4820 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S085 | 0.7868 | 0.7832 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S086 | 0.8542 | 0.8508 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S087 | 0.4632 | 0.4505 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S090 | 0.4169 | 0.4087 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S091 | 0.5309 | 0.5135 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S093 | 0.7743 | 0.7613 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S094 | 0.7853 | 0.7756 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S095 | 0.5111 | 0.5056 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S096 | 0.4320 | 0.4194 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S097 | 0.3816 | 0.3734 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S098 | 0.5963 | 0.5960 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S099 | 0.3816 | 0.3456 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S101 | 0.4222 | 0.4211 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S102 | 0.6706 | 0.6672 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S103 | 0.4667 | 0.4423 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S105 | 0.4890 | 0.4819 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S106 | 0.4556 | 0.4392 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S107 | 0.4333 | 0.4232 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S108 | 0.5353 | 0.5407 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
S109 | 0.3639 | 0.3329 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
GLOBAL | 0.5632 | 0.5507 | 5 | 4 | (0.5, 4.5) | False | False | 11 | oas | fgmdm
