tag,fold,acc_global,f1_macro_global,acc_ft,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers
nb2_h4_optimized_medio,1,0.8253968253968254,0.8253887449092929,0.8503401360544217,460130,460130,58823424,0.002668929100036621,121,128,4,3
nb2_h4_optimized_medio,2,0.8401360544217688,0.8401111849658589,0.8775510204081632,460130,460130,58823424,0.002806854248046875,121,128,4,3
nb2_h4_optimized_medio,3,0.7959183673469388,0.7955388419534308,0.8367346938775511,460130,460130,58823424,0.002848072052001953,121,128,4,3
nb2_h4_optimized_medio,4,0.8392857142857143,0.839066529102136,0.8702380952380953,460130,460130,58823424,0.002871246337890625,121,128,4,3
nb2_h4_optimized_medio,5,0.85,0.8499693815064299,0.875,460130,460130,58823424,0.002835426330566406,121,128,4,3
