subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,fb_bands,cov_estimator,model
S001,0.6555555555555556,0.6298989898989898,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S002,0.7617647058823529,0.7584451659451659,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S003,0.5,0.4691097791097791,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S004,0.7375,0.731969696969697,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S005,0.5544117647058824,0.5487049062049062,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S006,0.5102941176470589,0.503023088023088,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S007,0.8444444444444444,0.8383477633477634,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S008,0.5713235294117648,0.5388239538239539,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S009,0.4286764705882353,0.40348484848484845,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S010,0.6066176470588236,0.6079870129870131,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S011,0.4764705882352941,0.4572330447330447,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S012,0.5705882352941176,0.5651190476190476,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S013,0.5523809523809524,0.5547366522366521,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S014,0.4161764705882353,0.3896392496392496,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S015,0.6308823529411764,0.6316774891774892,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S016,0.3213235294117647,0.3123917748917749,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S017,0.525,0.5217388167388167,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S018,0.45220588235294124,0.4504906204906205,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S019,0.6183823529411765,0.6098520923520923,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S020,0.45441176470588235,0.4421139971139971,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S021,0.37777777777777777,0.3686544011544012,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S022,0.5444444444444445,0.5435173160173161,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S023,0.4713235294117647,0.453030303030303,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S024,0.6083333333333333,0.565,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S025,0.8095588235294118,0.7978318903318904,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S026,0.5830882352941177,0.5742316017316018,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S027,0.45441176470588235,0.44708485958485966,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S028,0.3823529411764706,0.3571572871572871,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S029,0.9444444444444444,0.9380339105339106,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S030,0.5333333333333334,0.516890331890332,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S031,0.8102941176470587,0.8106349206349208,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S032,0.7666666666666667,0.7580050505050505,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S033,0.5830882352941177,0.5797763347763348,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S034,0.8352941176470587,0.830093795093795,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S035,0.7666666666666666,0.7661435786435786,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S036,0.38235294117647056,0.36267316017316015,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S037,0.3647058823529412,0.3409604284604285,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S039,0.34558823529411764,0.33843406593406594,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S040,0.5,0.4874278499278499,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S041,0.6581699346405229,0.6575901875901875,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S042,0.8448529411764705,0.8441269841269843,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S043,0.7264705882352942,0.7217460317460317,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S044,0.5073529411764706,0.4609686147186148,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S045,0.6066176470588236,0.5951007326007325,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S046,0.4333333333333333,0.4162337662337663,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S047,0.46397058823529413,0.4512984237984238,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S048,0.6725,0.6453968253968253,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S049,0.8316176470588236,0.8264862914862915,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S050,0.6316176470588235,0.6261904761904762,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S051,0.4333333333333333,0.41898989898989897,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S052,0.486764705882353,0.4852380952380953,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S053,0.46397058823529413,0.4367063492063491,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S054,0.7352941176470589,0.735966810966811,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S055,0.6654411764705882,0.6650108225108226,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S056,0.7272058823529413,0.7032287157287157,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S057,0.4222222222222222,0.39741341991341994,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S058,0.6801470588235294,0.6647366522366522,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S059,0.44117647058823534,0.4232647907647908,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S060,0.6301470588235294,0.6088997113997113,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S061,0.5888888888888889,0.5660336885336885,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S062,0.6897058823529412,0.6820382395382396,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S063,0.49338235294117644,0.4592821067821068,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S064,0.3215686274509804,0.3086219336219337,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S065,0.6,0.5956746031746032,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S066,0.3888888888888889,0.3643109668109668,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S067,0.4397058823529412,0.4396825396825396,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S068,0.6088235294117647,0.6017821067821069,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S069,0.5588235294117647,0.5470390720390721,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S070,0.5573529411764706,0.5493759018759018,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S071,0.7,0.6867027417027417,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S072,0.7882352941176469,0.7789033189033189,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S073,0.6558823529411765,0.6552380952380952,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S074,0.4235294117647059,0.4013924963924964,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S075,0.4860294117647059,0.479018759018759,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S076,0.5610294117647059,0.516543734043734,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S077,0.38161764705882356,0.3696608946608947,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
S078,0.43014705882352944,0.4025685425685426,5,4,"(0.5, 4.5)",False,False,11,lwf,fgmdm
