subject,acc_mean,f1_macro_mean,k,n_classes,crop,motor_only,zscore_epoch,fb_bands,cov_estimator,model
S001,0.6333333333333333,0.5942316017316017,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S002,0.5845588235294118,0.5454076479076478,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S003,0.47777777777777775,0.4538417138417138,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S004,0.7029411764705883,0.7012698412698413,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S005,0.2757352941176471,0.25515373515373513,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S006,0.2867647058823529,0.25004301254301253,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S007,0.8111111111111111,0.803982683982684,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S008,0.5014705882352941,0.4887265512265512,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S009,0.30808823529411766,0.26033910533910537,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S010,0.4154411764705882,0.4095743145743146,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S011,0.40588235294117647,0.4075974025974026,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S012,0.46544117647058825,0.41348484848484846,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S013,0.44761904761904764,0.4349206349206349,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S014,0.3948529411764706,0.38502164502164504,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S015,0.5227941176470587,0.5174422799422799,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S016,0.22426470588235295,0.20377816627816628,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S017,0.34705882352941175,0.3238020313020313,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S018,0.30073529411764705,0.2718009768009768,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S019,0.45220588235294124,0.42790764790764796,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S020,0.2985294117647059,0.272059607059607,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S021,0.3333333333333333,0.2823088023088023,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S022,0.5555555555555556,0.5372258297258298,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S023,0.4117647058823529,0.39088744588744584,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S024,0.34444444444444444,0.2866666666666667,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S025,0.8580882352941177,0.8562698412698412,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S026,0.4161764705882353,0.39099025974025975,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S027,0.40588235294117647,0.38850871350871347,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S028,0.36911764705882355,0.34627705627705624,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S029,0.7888888888888889,0.7884920634920635,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S030,0.4444444444444445,0.4285574148074148,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S031,0.5595588235294118,0.5453174603174602,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S032,0.5444444444444445,0.5183387445887446,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S033,0.38161764705882356,0.3542698967698968,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S034,0.5764705882352941,0.5700541125541125,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S035,0.6,0.5667855020796198,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S036,0.3220588235294118,0.3006382506382506,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S037,0.24705882352941178,0.22845598845598847,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S039,0.23676470588235293,0.23187229437229434,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S040,0.2852941176470588,0.2639069264069264,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S041,0.4908496732026144,0.4809018759018759,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S042,0.8448529411764705,0.8362481962481964,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S043,0.6066176470588236,0.6107681207681207,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S044,0.4227941176470589,0.40450299700299697,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S045,0.6205882352941177,0.6146536796536797,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S046,0.5222222222222223,0.49564935064935056,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S047,0.4404411764705882,0.43105699855699847,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S048,0.5716666666666667,0.5612698412698413,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S049,0.7735294117647058,0.7687193362193362,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S050,0.536764705882353,0.5033569208569209,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S051,0.4333333333333333,0.4058053058053058,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S052,0.4669117647058824,0.4557539682539682,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S053,0.513235294117647,0.48058441558441556,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S054,0.6375,0.6029473304473304,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S055,0.6316176470588235,0.6030952380952381,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S056,0.6191176470588236,0.6017821067821068,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S057,0.36666666666666664,0.3608477633477633,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S058,0.525,0.48784798534798535,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S059,0.4286764705882353,0.4083630258630258,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S060,0.6301470588235294,0.6017460317460317,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S061,0.45555555555555555,0.4435880785880785,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S062,0.7264705882352941,0.7192604617604618,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S063,0.4360294117647059,0.42373015873015873,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S064,0.403921568627451,0.3951248751248751,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S065,0.5222222222222223,0.5155122655122655,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S066,0.4222222222222222,0.39766039516039514,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S067,0.3220588235294118,0.2781962481962482,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S068,0.5727941176470588,0.5599314574314574,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S069,0.5264705882352941,0.5095238095238095,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S070,0.7132352941176471,0.7019444444444445,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S071,0.6333333333333334,0.6301739926739927,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S072,0.8235294117647058,0.8174242424242424,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S073,0.524264705882353,0.5158882783882783,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S074,0.3058823529411765,0.29701270951270947,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
S075,0.524264705882353,0.4854689754689755,5,4,"(0.5, 4.5)",False,False,11,lwf,mdm
