tag,fold,acc,f1_macro,ft_acc,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers
nb2_h4,1,0.8163265306122449,0.8163029168552269,0.8560090702947846,195170,195170,19607808,0.0010844326019287108,121,128,4,1
nb2_h4,2,0.8242630385487528,0.8241217343647682,0.891156462585034,195170,195170,19607808,0.0010983467102050782,121,128,4,1
nb2_h4,3,0.7913832199546486,0.7912962962962964,0.8514739229024944,195170,195170,19607808,0.0011085939407348632,121,128,4,1
nb2_h4,4,0.8369047619047619,0.836736083623812,0.8845238095238095,195170,195170,19607808,0.001089482307434082,121,128,4,1
nb2_h4,5,0.8369047619047619,0.8368860370875908,0.875,195170,195170,19607808,0.0010991716384887696,121,128,4,1
