subject,acc_mean,acc_std,f1_macro_mean,f1_macro_std,bal_acc_mean,k,n_classes,crop,n_chans,input_window_seconds,sfreq,drop_prob,n_epochs
S001,0.24444444444444446,0.027216552697590882,0.09802371541501978,0.008713599875513279,0.24444444444444446,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S002,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S003,0.2333333333333333,0.02222222222222223,0.09446640316205532,0.007114624505928851,0.2333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S004,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S005,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S006,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S007,0.2333333333333333,0.022222222222222227,0.09446640316205535,0.007114624505928852,0.2333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S008,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S009,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S010,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S011,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S012,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S013,0.23161764705882354,0.023018346827203717,0.09388471177944861,0.007766350754630163,0.23161764705882354,5,4,"(0.5, 4.5)",8,4.0,160,0.5,82
S014,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S015,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S016,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S017,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S018,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
